Date,Price
2018-01-02,101.15733247647292
2018-01-03,100.89495955493331
2018-01-04,102.30584856780078
2018-01-05,105.57119436049955
2018-01-08,105.08420305400419
2018-01-09,104.61928083316177
2018-01-10,108.00037225772475
2018-01-11,109.80669426362478
2018-01-12,108.78473159216084
2018-01-15,110.0242577254245
2018-01-16,109.07223418980311
2018-01-17,108.15202798121915
2018-01-18,108.6811826404839
2018-01-19,105.06505709775945
2018-01-22,101.57809349590596
2018-01-23,100.40572620090282
2018-01-24,98.35339036847203
2018-01-25,99.0392079808431
2018-01-26,97.28629877726051
2018-01-29,94.61285809102722
2018-01-30,97.58662361014375
2018-01-31,97.1461597231669
2018-02-01,97.322781227596
2018-02-02,94.60593432612866
2018-02-05,93.56738971585838
2018-02-06,93.81729294729503
2018-02-07,91.75510456694549
2018-02-08,92.48303961770436
2018-02-09,91.4524560050506
2018-02-12,90.9863323091726
2018-02-13,90.02793249549872
2018-02-14,93.09751468721302
2018-02-15,93.11007758519835
2018-02-16,91.30398876410901
2018-02-19,92.78396612763504
2018-02-20,90.70537657923362
2018-02-21,91.10871401233919
2018-02-22,87.87562371214555
2018-02-23,85.52392816798431
2018-02-26,85.91903735858638
2018-02-27,87.26864476430703
2018-02-28,87.60666691428922
2018-03-01,87.44459450888945
2018-03-02,86.98706787729206
2018-03-05,84.71919746570948
2018-03-06,83.5976744146796
2018-03-07,82.91113047552267
2018-03-08,84.56007335914646
2018-03-09,85.13123341360428
2018-03-12,82.52613306018732
2018-03-13,83.07973779797584
2018-03-14,82.51489158726218
2018-03-15,81.53792217643053
2018-03-16,82.467685792646
2018-03-19,84.0054950390332
2018-03-20,85.43470588239164
2018-03-21,84.20887718860925
2018-03-22,83.78552344062909
2018-03-23,84.29399436256035
2018-03-26,85.70152670007295
2018-03-27,85.0537406953243
2018-03-28,84.83091207788175
2018-03-29,83.39503546706669
2018-03-30,81.8380732557805
2018-04-02,82.97656490789053
2018-04-03,84.87955399796552
2018-04-04,84.80900601649502
2018-04-05,86.26235403376002
2018-04-06,86.81881047404791
2018-04-09,85.94937674327
2018-04-10,86.48198475390915
2018-04-11,88.61461478902964
2018-04-12,88.59747729927538
2018-04-13,90.88400697118198
2018-04-16,86.94278271740998
2018-04-17,88.47705124104613
2018-04-18,88.67098519643564
2018-04-19,88.18378269595844
2018-04-20,88.37371786741515
2018-04-23,85.23606532068159
2018-04-24,84.88659351822596
2018-04-25,85.52212667444964
2018-04-26,88.00863766525062
2018-04-27,87.13261082764133
2018-04-30,85.80208282632752
2018-05-01,85.00847761816517
2018-05-02,86.51848036541213
2018-05-03,87.08836005016968
2018-05-04,86.28933922015713
2018-05-07,87.1125750191845
2018-05-08,87.29389233846561
2018-05-09,88.75460245891348
2018-05-10,87.74845225026677
2018-05-11,87.3074864159007
2018-05-14,86.7916549142644
2018-05-15,84.85035665116042
2018-05-16,85.3022312971988
2018-05-17,85.69599158757165
2018-05-18,85.7371384794047
2018-05-21,85.46651784035981
2018-05-22,83.73069608152558
2018-05-23,83.21829579352692
2018-05-24,82.81919813909569
2018-05-25,81.87236607316763
2018-05-28,81.7097372833908
2018-05-29,82.21993727219449
2018-05-30,84.47497791814409
2018-05-31,84.74078072622022
2018-06-01,85.1083001579719
2018-06-04,85.04827260339935
2018-06-05,82.7569090625921
2018-06-06,82.75468876583943
2018-06-07,82.86560380744167
2018-06-08,86.04717850417923
2018-06-11,85.78257243153627
2018-06-12,86.27039512369885
2018-06-13,86.25415774987695
2018-06-14,84.65201459131139
2018-06-15,86.32378212322915
2018-06-18,87.47554406179702
2018-06-19,88.68955398426044
2018-06-20,87.38055277370051
2018-06-21,89.5006593543292
2018-06-22,87.35841343308499
2018-06-25,88.33892641012693
2018-06-26,91.91656355473415
2018-06-27,90.0983920962547
2018-06-28,89.089295285298
2018-06-29,89.30332921459667
2018-07-02,88.47491352816463
2018-07-03,85.96889225864193
2018-07-04,86.12064671132966
2018-07-05,84.42142978150711
2018-07-06,85.23082304626064
2018-07-09,83.80664108494365
2018-07-10,86.30913830888777
2018-07-11,85.01338862976964
2018-07-12,84.51307461051888
2018-07-13,85.85804035492534
2018-07-16,83.93435491952604
2018-07-17,84.3353456781156
2018-07-18,86.43684354423104
2018-07-19,83.85366187485859
2018-07-20,84.20322829239707
2018-07-23,84.66722217287688
2018-07-24,85.96343593151437
2018-07-25,84.03130748039683
2018-07-26,81.96344301807464
2018-07-27,82.84806828843679
2018-07-30,83.35695409750221
2018-07-31,83.78027160271554
2018-08-01,84.33805541822166
2018-08-02,83.37624985144993
2018-08-03,83.74326825568859
2018-08-06,84.18655793013387
2018-08-07,83.25315470532921
2018-08-08,85.80983864010136
2018-08-09,86.5651945857162
2018-08-10,84.84284614365282
2018-08-13,85.86370983217681
2018-08-14,84.46074837684318
2018-08-15,85.65924085312018
2018-08-16,87.42254987089889
2018-08-17,86.2039468307198
2018-08-20,87.7021233558456
2018-08-21,88.37442526359155
2018-08-22,89.65787030422659
2018-08-23,92.62500628667826
2018-08-24,92.23678525581289
2018-08-27,91.02268769211942
2018-08-28,89.62144009904962
2018-08-29,88.36172446623023
2018-08-30,88.27649174108258
2018-08-31,88.82836339125527
2018-09-03,89.27314123352218
2018-09-04,90.50772016930553
2018-09-05,90.56284558593885
2018-09-06,92.67229690971192
2018-09-07,92.30780713750268
2018-09-10,96.43306443841657
2018-09-11,97.66855329495274
2018-09-12,96.10617924031389
2018-09-13,94.19387367452325
